timestep,hall,label
1,87,0
2,89,0
3,91,0
4,93,0
5,89,0
6,91,0
7,92,0
8,89,0
9,93,0
10,94,0
11,88,0
12,88,0
13,88,0
14,98,0
15,87,0
16,89,0
17,86,0
18,88,0
19,88,0
20,89,0
21,89,0
22,86,0
23,86,0
24,90,0
25,91,0
26,93,0
27,85,0
28,96,0
29,87,0
30,84,0
31,86,0
32,88,0
33,83,0
34,91,0
35,90,0
36,91,0
37,95,0
38,94,0
39,88,0
40,88,0
41,89,0
42,86,0
43,84,0
44,91,0
45,89,0
46,88,0
47,90,0
48,91,0
49,86,0
50,82,0
51,94,0
52,88,0
53,87,0
54,92,0
55,95,0
56,96,0
57,88,0
58,89,0
59,83,0
60,86,0
61,82,0
62,92,0
63,96,0
64,87,0
65,95,0
66,88,0
67,90,0
68,81,0
69,96,0
70,89,0
71,91,0
72,87,0
73,93,0
74,89,0
75,89,0
76,93,0
77,92,0
78,94,0
79,83,0
80,90,0
81,82,0
82,83,0
83,86,0
84,92,0
85,92,0
86,91,0
87,94,0
88,88,0
89,85,0
90,84,0
91,83,0
92,83,0
93,91,0
94,85,0
95,90,0
96,83,0
97,88,0
98,82,0
99,89,0
100,85,0
101,88,0
102,86,0
103,87,0
104,86,0
105,89,0
106,90,0
107,91,0
108,91,0
109,92,0
110,91,0
111,89,0
112,94,0
113,90,0
114,90,0
115,89,0
116,88,0
117,90,0
118,96,0
119,83,0
120,93,0
121,84,0
122,88,0
123,87,0
124,79,0
125,86,0
126,99,0
127,87,0
128,89,0
129,94,0
130,91,0
131,92,0
132,88,0
133,88,0
134,89,0
135,87,0
136,86,0
137,88,0
138,89,0
139,97,0
140,84,0
141,89,0
142,88,0
143,91,0
144,86,0
145,87,0
146,85,0
147,93,0
148,95,0
149,89,0
150,87,0
151,89,0
152,82,0
153,94,0
154,92,0
155,90,0
156,93,0
157,90,0
158,88,0
159,90,0
160,88,0
161,89,0
162,88,0
163,92,0
164,88,0
165,89,0
166,91,0
167,94,0
168,93,0
169,84,0
170,85,0
171,94,0
172,86,0
173,85,0
174,95,0
175,91,0
176,90,0
177,93,0
178,89,0
179,91,0
180,89,0
181,84,0
182,80,0
183,90,0
184,96,0
185,91,0
186,85,0
187,97,0
188,84,0
189,89,0
190,88,0
191,90,0
192,88,0
193,89,0
194,87,0
195,85,0
196,89,0
197,91,0
198,89,0
199,88,0
200,85,0
201,101,0
202,90,0
203,88,0
204,98,0
205,88,0
206,87,0
207,90,0
208,88,0
209,87,0
210,93,0
211,92,0
212,88,0
213,94,0
214,90,0
215,91,0
216,90,0
217,87,0
218,88,0
219,82,0
220,90,0
221,86,0
222,90,0
223,87,0
224,79,0
225,93,0
226,86,0
227,89,0
228,99,0
229,89,0
230,93,0
231,84,0
232,87,0
233,85,0
234,95,0
235,94,0
236,91,0
237,91,0
238,108,0
239,90,0
240,88,0
241,93,0
242,88,0
243,95,0
244,94,0
245,90,0
246,93,0
247,80,0
248,92,0
249,89,0
250,92,0
251,83,0
252,90,0
253,90,0
254,90,0
255,91,0
256,85,0
257,85,0
258,90,0
259,95,0
260,88,0
261,90,0
262,87,0
